,"Function authorization machine types, models, and features",,,,,,
,HW Machine Type,HW Model,HW Defines Features,FA Machine Type,FA Model,FA Sort Key,FA Feature
,2422.0,9B2,FALSE,2397.0,LFA,10.0,7201.0
,2422.0,9B2,FALSE,2397.0,LFA,10.0,7202.0
,2422.0,9B2,FALSE,2397.0,LFA,10.0,7203.0
,2422.0,9B2,FALSE,2397.0,LFA,10.0,7204.0
,2422.0,9B2,FALSE,2397.0,LFA,10.0,7205.0
,2422.0,9B2,FALSE,2397.0,LFA,10.0,7210.0
,2422.0,9B2,FALSE,2397.0,LFA,10.0,7215.0
,2422.0,9B2,FALSE,2397.0,LFA,10.0,7230.0
,2422.0,9B2,FALSE,2397.0,LFA,10.0,7231.0
,2422.0,9B2,FALSE,2397.0,LFA,10.0,7232.0
,2422.0,9B2,FALSE,2397.0,LFA,10.0,7233.0
,2422.0,9B2,FALSE,2397.0,LFA,10.0,7234.0
,2422.0,9B2,FALSE,2397.0,LFA,10.0,7235.0
,2422.0,9B2,FALSE,2397.0,LFA,10.0,7240.0
,2422.0,9B2,FALSE,2397.0,LFA,10.0,7245.0
,2422.0,9B2,FALSE,2397.0,LFA,10.0,7300.0
,2422.0,9B2,FALSE,2397.0,LFA,10.0,7301.0
,2422.0,9B2,FALSE,2397.0,LFA,10.0,7302.0
,2422.0,9B2,FALSE,2397.0,LFA,10.0,7303.0
,2422.0,9B2,FALSE,2397.0,LFA,10.0,7304.0
,2422.0,9B2,FALSE,2397.0,LFA,10.0,7305.0
,2422.0,9B2,FALSE,2397.0,LFA,10.0,7310.0
,2422.0,9B2,FALSE,2397.0,LFA,10.0,7315.0
,2422.0,9B2,FALSE,2397.0,LFA,10.0,7330.0
,2422.0,9B2,FALSE,2397.0,LFA,10.0,7331.0
,2422.0,9B2,FALSE,2397.0,LFA,10.0,7332.0
,2422.0,9B2,FALSE,2397.0,LFA,10.0,7333.0
,2422.0,9B2,FALSE,2397.0,LFA,10.0,7334.0
,2422.0,9B2,FALSE,2397.0,LFA,10.0,7335.0
,2422.0,9B2,FALSE,2397.0,LFA,10.0,7340.0
,2422.0,9B2,FALSE,2397.0,LFA,10.0,7345.0
,2422.0,9B2,FALSE,2397.0,LFA,10.0,7420.0
,2422.0,9B2,FALSE,2397.0,LFA,10.0,7421.0
,2422.0,9B2,FALSE,2397.0,LFA,10.0,7422.0
,2422.0,9B2,FALSE,2397.0,LFA,10.0,7423.0
,2422.0,9B2,FALSE,2397.0,LFA,10.0,7424.0
,2422.0,9B2,FALSE,2397.0,LFA,10.0,7425.0
,2422.0,9B2,FALSE,2397.0,LFA,10.0,7430.0
,2422.0,9B2,FALSE,2397.0,LFA,10.0,7435.0
,2422.0,9B2,FALSE,2397.0,LFA,10.0,7440.0
,2422.0,9B2,FALSE,2397.0,LFA,10.0,7441.0
,2422.0,9B2,FALSE,2397.0,LFA,10.0,7442.0
,2422.0,9B2,FALSE,2397.0,LFA,10.0,7443.0
,2422.0,9B2,FALSE,2397.0,LFA,10.0,7444.0
,2422.0,9B2,FALSE,2397.0,LFA,10.0,7445.0
,2422.0,9B2,FALSE,2397.0,LFA,10.0,7450.0
,2422.0,9B2,FALSE,2397.0,LFA,10.0,7455.0
,2422.0,9B2,FALSE,2397.0,LFA,10.0,7460.0
,2422.0,9B2,FALSE,2397.0,LFA,10.0,7461.0
,2422.0,9B2,FALSE,2397.0,LFA,10.0,7462.0
,2422.0,9B2,FALSE,2397.0,LFA,10.0,7463.0
,2422.0,9B2,FALSE,2397.0,LFA,10.0,7464.0
,2422.0,9B2,FALSE,2397.0,LFA,10.0,7465.0
,2422.0,9B2,FALSE,2397.0,LFA,10.0,7470.0
,2422.0,9B2,FALSE,2397.0,LFA,10.0,7475.0
,2422.0,9B2,FALSE,2397.0,LFA,10.0,7540.0
,2422.0,9B2,FALSE,2397.0,LFA,10.0,7541.0
,2422.0,9B2,FALSE,2397.0,LFA,10.0,7542.0
,2422.0,9B2,FALSE,2397.0,LFA,10.0,7543.0
,2422.0,9B2,FALSE,2397.0,LFA,10.0,7544.0
,2422.0,9B2,FALSE,2397.0,LFA,10.0,7545.0
,2422.0,9B2,FALSE,2397.0,LFA,10.0,7550.0
,2422.0,9B2,FALSE,2397.0,LFA,10.0,7555.0
,2422.0,9B2,FALSE,2397.0,LFA,10.0,7560.0
,2422.0,9B2,FALSE,2397.0,LFA,10.0,7561.0
,2422.0,9B2,FALSE,2397.0,LFA,10.0,7562.0
,2422.0,9B2,FALSE,2397.0,LFA,10.0,7563.0
,2422.0,9B2,FALSE,2397.0,LFA,10.0,7564.0
,2422.0,9B2,FALSE,2397.0,LFA,10.0,7565.0
,2422.0,9B2,FALSE,2397.0,LFA,10.0,7570.0
,2422.0,9B2,FALSE,2397.0,LFA,10.0,7575.0
,2422.0,9B2,FALSE,2397.0,LFA,10.0,7600.0
,2422.0,9B2,FALSE,2397.0,LFA,10.0,7601.0
,2422.0,9B2,FALSE,2397.0,LFA,10.0,7602.0
,2422.0,9B2,FALSE,2397.0,LFA,10.0,7603.0
,2422.0,9B2,FALSE,2397.0,LFA,10.0,7604.0
,2422.0,9B2,FALSE,2397.0,LFA,10.0,7605.0
,2422.0,9B2,FALSE,2397.0,LFA,10.0,7610.0
,2422.0,9B2,FALSE,2397.0,LFA,10.0,7615.0
,2422.0,9B2,FALSE,2397.0,LFA,10.0,7630.0
,2422.0,9B2,FALSE,2397.0,LFA,10.0,7631.0
,2422.0,9B2,FALSE,2397.0,LFA,10.0,7632.0
,2422.0,9B2,FALSE,2397.0,LFA,10.0,7633.0
,2422.0,9B2,FALSE,2397.0,LFA,10.0,7634.0
,2422.0,9B2,FALSE,2397.0,LFA,10.0,7635.0
,2422.0,9B2,FALSE,2397.0,LFA,10.0,7640.0
,2422.0,9B2,FALSE,2397.0,LFA,10.0,7645.0
,2422.0,9B2,FALSE,2397.0,LFA,10.0,7800.0
,2422.0,9B2,FALSE,2397.0,LFA,10.0,7801.0
,2422.0,9B2,FALSE,2397.0,LFA,10.0,7802.0
,2422.0,9B2,FALSE,2397.0,LFA,10.0,7803.0
,2422.0,9B2,FALSE,2397.0,LFA,10.0,7804.0
,2422.0,9B2,FALSE,2397.0,LFA,10.0,7805.0
,2422.0,9B2,FALSE,2397.0,LFA,10.0,7810.0
,2422.0,9B2,FALSE,2397.0,LFA,10.0,7815.0
,2422.0,9B2,FALSE,2397.0,LFA,10.0,7899.0
,2423.0,9B2,FALSE,2398.0,LFA,10.0,7000.0
,2423.0,9B2,FALSE,2398.0,LFA,10.0,7001.0
,2423.0,9B2,FALSE,2398.0,LFA,10.0,7002.0
,2423.0,9B2,FALSE,2398.0,LFA,10.0,7003.0
,2423.0,9B2,FALSE,2398.0,LFA,10.0,7004.0
,2423.0,9B2,FALSE,2398.0,LFA,10.0,7005.0
,2423.0,9B2,FALSE,2398.0,LFA,10.0,7010.0
,2423.0,9B2,FALSE,2398.0,LFA,10.0,7015.0
,2423.0,9B2,FALSE,2398.0,LFA,10.0,7070.0
,2423.0,9B2,FALSE,2398.0,LFA,10.0,7080.0
,2423.0,9B2,FALSE,2398.0,LFA,10.0,7090.0
,2423.0,9B2,FALSE,2398.0,LFA,10.0,7092.0
,2423.0,9B2,FALSE,2398.0,LFA,10.0,7200.0
,2423.0,9B2,FALSE,2398.0,LFA,10.0,7201.0
,2423.0,9B2,FALSE,2398.0,LFA,10.0,7202.0
,2423.0,9B2,FALSE,2398.0,LFA,10.0,7203.0
,2423.0,9B2,FALSE,2398.0,LFA,10.0,7204.0
,2423.0,9B2,FALSE,2398.0,LFA,10.0,7205.0
,2423.0,9B2,FALSE,2398.0,LFA,10.0,7210.0
,2423.0,9B2,FALSE,2398.0,LFA,10.0,7215.0
,2423.0,9B2,FALSE,2398.0,LFA,10.0,7230.0
,2423.0,9B2,FALSE,2398.0,LFA,10.0,7231.0
,2423.0,9B2,FALSE,2398.0,LFA,10.0,7232.0
,2423.0,9B2,FALSE,2398.0,LFA,10.0,7233.0
,2423.0,9B2,FALSE,2398.0,LFA,10.0,7234.0
,2423.0,9B2,FALSE,2398.0,LFA,10.0,7235.0
,2423.0,9B2,FALSE,2398.0,LFA,10.0,7240.0
,2423.0,9B2,FALSE,2398.0,LFA,10.0,7245.0
,2423.0,9B2,FALSE,2398.0,LFA,10.0,7300.0
,2423.0,9B2,FALSE,2398.0,LFA,10.0,7301.0
,2423.0,9B2,FALSE,2398.0,LFA,10.0,7302.0
,2423.0,9B2,FALSE,2398.0,LFA,10.0,7303.0
,2423.0,9B2,FALSE,2398.0,LFA,10.0,7304.0
,2423.0,9B2,FALSE,2398.0,LFA,10.0,7305.0
,2423.0,9B2,FALSE,2398.0,LFA,10.0,7310.0
,2423.0,9B2,FALSE,2398.0,LFA,10.0,7315.0
,2423.0,9B2,FALSE,2398.0,LFA,10.0,7330.0
,2423.0,9B2,FALSE,2398.0,LFA,10.0,7331.0
,2423.0,9B2,FALSE,2398.0,LFA,10.0,7332.0
,2423.0,9B2,FALSE,2398.0,LFA,10.0,7333.0
,2423.0,9B2,FALSE,2398.0,LFA,10.0,7334.0
,2423.0,9B2,FALSE,2398.0,LFA,10.0,7335.0
,2423.0,9B2,FALSE,2398.0,LFA,10.0,7340.0
,2423.0,9B2,FALSE,2398.0,LFA,10.0,7345.0
,2423.0,9B2,FALSE,2398.0,LFA,10.0,7420.0
,2423.0,9B2,FALSE,2398.0,LFA,10.0,7421.0
,2423.0,9B2,FALSE,2398.0,LFA,10.0,7422.0
,2423.0,9B2,FALSE,2398.0,LFA,10.0,7423.0
,2423.0,9B2,FALSE,2398.0,LFA,10.0,7424.0
,2423.0,9B2,FALSE,2398.0,LFA,10.0,7425.0
,2423.0,9B2,FALSE,2398.0,LFA,10.0,7430.0
,2423.0,9B2,FALSE,2398.0,LFA,10.0,7435.0
,2423.0,9B2,FALSE,2398.0,LFA,10.0,7440.0
,2423.0,9B2,FALSE,2398.0,LFA,10.0,7441.0
,2423.0,9B2,FALSE,2398.0,LFA,10.0,7442.0
,2423.0,9B2,FALSE,2398.0,LFA,10.0,7443.0
,2423.0,9B2,FALSE,2398.0,LFA,10.0,7444.0
,2423.0,9B2,FALSE,2398.0,LFA,10.0,7445.0
,2423.0,9B2,FALSE,2398.0,LFA,10.0,7450.0
,2423.0,9B2,FALSE,2398.0,LFA,10.0,7455.0
,2423.0,9B2,FALSE,2398.0,LFA,10.0,7460.0
,2423.0,9B2,FALSE,2398.0,LFA,10.0,7461.0
,2423.0,9B2,FALSE,2398.0,LFA,10.0,7462.0
,2423.0,9B2,FALSE,2398.0,LFA,10.0,7463.0
,2423.0,9B2,FALSE,2398.0,LFA,10.0,7464.0
,2423.0,9B2,FALSE,2398.0,LFA,10.0,7465.0
,2423.0,9B2,FALSE,2398.0,LFA,10.0,7470.0
,2423.0,9B2,FALSE,2398.0,LFA,10.0,7475.0
,2423.0,9B2,FALSE,2398.0,LFA,10.0,7540.0
,2423.0,9B2,FALSE,2398.0,LFA,10.0,7541.0
,2423.0,9B2,FALSE,2398.0,LFA,10.0,7542.0
,2423.0,9B2,FALSE,2398.0,LFA,10.0,7543.0
,2423.0,9B2,FALSE,2398.0,LFA,10.0,7544.0
,2423.0,9B2,FALSE,2398.0,LFA,10.0,7545.0
,2423.0,9B2,FALSE,2398.0,LFA,10.0,7550.0
,2423.0,9B2,FALSE,2398.0,LFA,10.0,7555.0
,2423.0,9B2,FALSE,2398.0,LFA,10.0,7560.0
,2423.0,9B2,FALSE,2398.0,LFA,10.0,7561.0
,2423.0,9B2,FALSE,2398.0,LFA,10.0,7562.0
,2423.0,9B2,FALSE,2398.0,LFA,10.0,7563.0
,2423.0,9B2,FALSE,2398.0,LFA,10.0,7564.0
,2423.0,9B2,FALSE,2398.0,LFA,10.0,7565.0
,2423.0,9B2,FALSE,2398.0,LFA,10.0,7570.0
,2423.0,9B2,FALSE,2398.0,LFA,10.0,7575.0
,2423.0,9B2,FALSE,2398.0,LFA,10.0,7600.0
,2423.0,9B2,FALSE,2398.0,LFA,10.0,7601.0
,2423.0,9B2,FALSE,2398.0,LFA,10.0,7602.0
,2423.0,9B2,FALSE,2398.0,LFA,10.0,7603.0
,2423.0,9B2,FALSE,2398.0,LFA,10.0,7604.0
,2423.0,9B2,FALSE,2398.0,LFA,10.0,7605.0
,2423.0,9B2,FALSE,2398.0,LFA,10.0,7610.0
,2423.0,9B2,FALSE,2398.0,LFA,10.0,7615.0
,2423.0,9B2,FALSE,2398.0,LFA,10.0,7630.0
,2423.0,9B2,FALSE,2398.0,LFA,10.0,7631.0
,2423.0,9B2,FALSE,2398.0,LFA,10.0,7632.0
,2423.0,9B2,FALSE,2398.0,LFA,10.0,7633.0
,2423.0,9B2,FALSE,2398.0,LFA,10.0,7634.0
,2423.0,9B2,FALSE,2398.0,LFA,10.0,7635.0
,2423.0,9B2,FALSE,2398.0,LFA,10.0,7640.0
,2423.0,9B2,FALSE,2398.0,LFA,10.0,7645.0
,2423.0,9B2,FALSE,2398.0,LFA,10.0,7800.0
,2423.0,9B2,FALSE,2398.0,LFA,10.0,7801.0
,2423.0,9B2,FALSE,2398.0,LFA,10.0,7802.0
,2423.0,9B2,FALSE,2398.0,LFA,10.0,7803.0
,2423.0,9B2,FALSE,2398.0,LFA,10.0,7804.0
,2423.0,9B2,FALSE,2398.0,LFA,10.0,7805.0
,2423.0,9B2,FALSE,2398.0,LFA,10.0,7810.0
,2423.0,9B2,FALSE,2398.0,LFA,10.0,7815.0
,2423.0,9B2,FALSE,2398.0,LFA,10.0,7899.0
,2424.0,9B2,FALSE,2399.0,LFA,10.0,7000.0
,2424.0,9B2,FALSE,2399.0,LFA,10.0,7001.0
,2424.0,9B2,FALSE,2399.0,LFA,10.0,7002.0
,2424.0,9B2,FALSE,2399.0,LFA,10.0,7003.0
,2424.0,9B2,FALSE,2399.0,LFA,10.0,7004.0
,2424.0,9B2,FALSE,2399.0,LFA,10.0,7005.0
,2424.0,9B2,FALSE,2399.0,LFA,10.0,7010.0
,2424.0,9B2,FALSE,2399.0,LFA,10.0,7015.0
,2424.0,9B2,FALSE,2399.0,LFA,10.0,7070.0
,2424.0,9B2,FALSE,2399.0,LFA,10.0,7080.0
,2424.0,9B2,FALSE,2399.0,LFA,10.0,7090.0
,2424.0,9B2,FALSE,2399.0,LFA,10.0,7092.0
,2424.0,9B2,FALSE,2399.0,LFA,10.0,7200.0
,2424.0,9B2,FALSE,2399.0,LFA,10.0,7201.0
,2424.0,9B2,FALSE,2399.0,LFA,10.0,7202.0
,2424.0,9B2,FALSE,2399.0,LFA,10.0,7203.0
,2424.0,9B2,FALSE,2399.0,LFA,10.0,7204.0
,2424.0,9B2,FALSE,2399.0,LFA,10.0,7205.0
,2424.0,9B2,FALSE,2399.0,LFA,10.0,7210.0
,2424.0,9B2,FALSE,2399.0,LFA,10.0,7215.0
,2424.0,9B2,FALSE,2399.0,LFA,10.0,7230.0
,2424.0,9B2,FALSE,2399.0,LFA,10.0,7231.0
,2424.0,9B2,FALSE,2399.0,LFA,10.0,7232.0
,2424.0,9B2,FALSE,2399.0,LFA,10.0,7233.0
,2424.0,9B2,FALSE,2399.0,LFA,10.0,7234.0
,2424.0,9B2,FALSE,2399.0,LFA,10.0,7235.0
,2424.0,9B2,FALSE,2399.0,LFA,10.0,7240.0
,2424.0,9B2,FALSE,2399.0,LFA,10.0,7245.0
,2424.0,9B2,FALSE,2399.0,LFA,10.0,7300.0
,2424.0,9B2,FALSE,2399.0,LFA,10.0,7301.0
,2424.0,9B2,FALSE,2399.0,LFA,10.0,7302.0
,2424.0,9B2,FALSE,2399.0,LFA,10.0,7303.0
,2424.0,9B2,FALSE,2399.0,LFA,10.0,7304.0
,2424.0,9B2,FALSE,2399.0,LFA,10.0,7305.0
,2424.0,9B2,FALSE,2399.0,LFA,10.0,7310.0
,2424.0,9B2,FALSE,2399.0,LFA,10.0,7315.0
,2424.0,9B2,FALSE,2399.0,LFA,10.0,7330.0
,2424.0,9B2,FALSE,2399.0,LFA,10.0,7331.0
,2424.0,9B2,FALSE,2399.0,LFA,10.0,7332.0
,2424.0,9B2,FALSE,2399.0,LFA,10.0,7333.0
,2424.0,9B2,FALSE,2399.0,LFA,10.0,7334.0
,2424.0,9B2,FALSE,2399.0,LFA,10.0,7335.0
,2424.0,9B2,FALSE,2399.0,LFA,10.0,7340.0
,2424.0,9B2,FALSE,2399.0,LFA,10.0,7345.0
,2424.0,9B2,FALSE,2399.0,LFA,10.0,7420.0
,2424.0,9B2,FALSE,2399.0,LFA,10.0,7421.0
,2424.0,9B2,FALSE,2399.0,LFA,10.0,7422.0
,2424.0,9B2,FALSE,2399.0,LFA,10.0,7423.0
,2424.0,9B2,FALSE,2399.0,LFA,10.0,7424.0
,2424.0,9B2,FALSE,2399.0,LFA,10.0,7425.0
,2424.0,9B2,FALSE,2399.0,LFA,10.0,7430.0
,2424.0,9B2,FALSE,2399.0,LFA,10.0,7435.0
,2424.0,9B2,FALSE,2399.0,LFA,10.0,7440.0
,2424.0,9B2,FALSE,2399.0,LFA,10.0,7441.0
,2424.0,9B2,FALSE,2399.0,LFA,10.0,7442.0
,2424.0,9B2,FALSE,2399.0,LFA,10.0,7443.0
,2424.0,9B2,FALSE,2399.0,LFA,10.0,7444.0
,2424.0,9B2,FALSE,2399.0,LFA,10.0,7445.0
,2424.0,9B2,FALSE,2399.0,LFA,10.0,7450.0
,2424.0,9B2,FALSE,2399.0,LFA,10.0,7455.0
,2424.0,9B2,FALSE,2399.0,LFA,10.0,7460.0
,2424.0,9B2,FALSE,2399.0,LFA,10.0,7461.0
,2424.0,9B2,FALSE,2399.0,LFA,10.0,7462.0
,2424.0,9B2,FALSE,2399.0,LFA,10.0,7463.0
,2424.0,9B2,FALSE,2399.0,LFA,10.0,7464.0
,2424.0,9B2,FALSE,2399.0,LFA,10.0,7465.0
,2424.0,9B2,FALSE,2399.0,LFA,10.0,7470.0
,2424.0,9B2,FALSE,2399.0,LFA,10.0,7475.0
,2424.0,9B2,FALSE,2399.0,LFA,10.0,7540.0
,2424.0,9B2,FALSE,2399.0,LFA,10.0,7541.0
,2424.0,9B2,FALSE,2399.0,LFA,10.0,7542.0
,2424.0,9B2,FALSE,2399.0,LFA,10.0,7543.0
,2424.0,9B2,FALSE,2399.0,LFA,10.0,7544.0
,2424.0,9B2,FALSE,2399.0,LFA,10.0,7545.0
,2424.0,9B2,FALSE,2399.0,LFA,10.0,7550.0
,2424.0,9B2,FALSE,2399.0,LFA,10.0,7555.0
,2424.0,9B2,FALSE,2399.0,LFA,10.0,7560.0
,2424.0,9B2,FALSE,2399.0,LFA,10.0,7561.0
,2424.0,9B2,FALSE,2399.0,LFA,10.0,7562.0
,2424.0,9B2,FALSE,2399.0,LFA,10.0,7563.0
,2424.0,9B2,FALSE,2399.0,LFA,10.0,7564.0
,2424.0,9B2,FALSE,2399.0,LFA,10.0,7565.0
,2424.0,9B2,FALSE,2399.0,LFA,10.0,7570.0
,2424.0,9B2,FALSE,2399.0,LFA,10.0,7575.0
,2424.0,9B2,FALSE,2399.0,LFA,10.0,7600.0
,2424.0,9B2,FALSE,2399.0,LFA,10.0,7601.0
,2424.0,9B2,FALSE,2399.0,LFA,10.0,7602.0
,2424.0,9B2,FALSE,2399.0,LFA,10.0,7603.0
,2424.0,9B2,FALSE,2399.0,LFA,10.0,7604.0
,2424.0,9B2,FALSE,2399.0,LFA,10.0,7605.0
,2424.0,9B2,FALSE,2399.0,LFA,10.0,7610.0
,2424.0,9B2,FALSE,2399.0,LFA,10.0,7615.0
,2424.0,9B2,FALSE,2399.0,LFA,10.0,7630.0
,2424.0,9B2,FALSE,2399.0,LFA,10.0,7631.0
,2424.0,9B2,FALSE,2399.0,LFA,10.0,7632.0
,2424.0,9B2,FALSE,2399.0,LFA,10.0,7633.0
,2424.0,9B2,FALSE,2399.0,LFA,10.0,7634.0
,2424.0,9B2,FALSE,2399.0,LFA,10.0,7635.0
,2424.0,9B2,FALSE,2399.0,LFA,10.0,7640.0
,2424.0,9B2,FALSE,2399.0,LFA,10.0,7645.0
,2424.0,9B2,FALSE,2399.0,LFA,10.0,7800.0
,2424.0,9B2,FALSE,2399.0,LFA,10.0,7801.0
,2424.0,9B2,FALSE,2399.0,LFA,10.0,7802.0
,2424.0,9B2,FALSE,2399.0,LFA,10.0,7803.0
,2424.0,9B2,FALSE,2399.0,LFA,10.0,7804.0
,2424.0,9B2,FALSE,2399.0,LFA,10.0,7805.0
,2424.0,9B2,FALSE,2399.0,LFA,10.0,7810.0
,2424.0,9B2,FALSE,2399.0,LFA,10.0,7815.0
,2424.0,9B2,FALSE,2399.0,LFA,10.0,7899.0
,,,,,,,











































































































































